設置點,Hour,populartimes_count
啤酒海時尚熱炒,14,0
啤酒海時尚熱炒,15,0
啤酒海時尚熱炒,16,25
啤酒海時尚熱炒,17,48
啤酒海時尚熱炒,18,70
啤酒海時尚熱炒,19,82
啤酒海時尚熱炒,20,82
啤酒海時尚熱炒,21,71
啤酒海時尚熱炒,22,60
啤酒海時尚熱炒,23,46
四季肉圓專賣店,0,0
四季肉圓專賣店,1,0
四季肉圓專賣店,2,0
四季肉圓專賣店,3,0
四季肉圓專賣店,4,0
四季肉圓專賣店,5,0
四季肉圓專賣店,6,0
四季肉圓專賣店,7,0
四季肉圓專賣店,8,0
四季肉圓專賣店,9,0
四季肉圓專賣店,10,37
四季肉圓專賣店,11,37
四季肉圓專賣店,12,37
四季肉圓專賣店,13,31
四季肉圓專賣店,14,27
四季肉圓專賣店,15,24
四季肉圓專賣店,16,37
四季肉圓專賣店,17,37
四季肉圓專賣店,18,44
四季肉圓專賣店,19,34
四季肉圓專賣店,20,0
四季肉圓專賣店,21,0
四季肉圓專賣店,22,0
四季肉圓專賣店,23,0
四面佛 泰善堂,0,0
四面佛 泰善堂,1,0
四面佛 泰善堂,2,0
四面佛 泰善堂,3,0
四面佛 泰善堂,4,0
四面佛 泰善堂,5,0
四面佛 泰善堂,6,0
四面佛 泰善堂,7,0
四面佛 泰善堂,8,73
四面佛 泰善堂,9,33
四面佛 泰善堂,10,40
四面佛 泰善堂,11,53
四面佛 泰善堂,12,73
四面佛 泰善堂,13,73
四面佛 泰善堂,14,86
四面佛 泰善堂,15,73
四面佛 泰善堂,16,73
四面佛 泰善堂,17,60
四面佛 泰善堂,18,33
四面佛 泰善堂,19,20
四面佛 泰善堂,20,13
四面佛 泰善堂,21,13
四面佛 泰善堂,22,0
四面佛 泰善堂,23,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),1,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),2,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),3,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),4,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),5,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),6,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),7,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),8,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),9,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),10,26
回鄉餐館-(義大利麵 濃湯 炒飯 便當),11,34
回鄉餐館-(義大利麵 濃湯 炒飯 便當),12,39
回鄉餐館-(義大利麵 濃湯 炒飯 便當),13,29
回鄉餐館-(義大利麵 濃湯 炒飯 便當),14,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),15,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),16,56
回鄉餐館-(義大利麵 濃湯 炒飯 便當),17,73
回鄉餐館-(義大利麵 濃湯 炒飯 便當),18,80
回鄉餐館-(義大利麵 濃湯 炒飯 便當),19,65
回鄉餐館-(義大利麵 濃湯 炒飯 便當),20,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),21,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),22,0
回鄉餐館-(義大利麵 濃湯 炒飯 便當),23,0
多那之澎湖店,0,0
多那之澎湖店,1,0
多那之澎湖店,2,0
多那之澎湖店,3,0
多那之澎湖店,4,0
多那之澎湖店,5,0
多那之澎湖店,6,0
多那之澎湖店,7,35
多那之澎湖店,8,43
多那之澎湖店,9,47
多那之澎湖店,10,55
多那之澎湖店,11,65
多那之澎湖店,12,79
多那之澎湖店,13,91
多那之澎湖店,14,82
多那之澎湖店,15,83
多那之澎湖店,16,74
多那之澎湖店,17,67
多那之澎湖店,18,62
多那之澎湖店,19,74
多那之澎湖店,20,88
多那之澎湖店,21,88
多那之澎湖店,22,67
多那之澎湖店,23,40
天人菊名產店,0,0
天人菊名產店,1,0
天人菊名產店,2,0
天人菊名產店,3,0
天人菊名產店,4,0
天人菊名產店,5,0
天人菊名產店,6,0
天人菊名產店,7,0
天人菊名產店,8,0
天人菊名產店,9,0
天人菊名產店,10,30
天人菊名產店,11,43
天人菊名產店,12,43
天人菊名產店,13,34
天人菊名產店,14,39
